Batch Directory Path Name                                     	Isotope	Src	Park	Mode	AR	CntLim								
========================================================	=======	===	====	====	==	======								
C:\Users\ams254\Documents\Results\USAMS061821R.txt	14C	SNICS	0	nrm	no	100								
														
Run Completion Time       	Pos	Meas	Sample Name	Num	Cycles	le12C      	le13C      	he12C      	he13C      	CntTotH	CntTotS	CntTotGT	13/12he    	14/12he    
========================	===	====	===========	===	======	===========	===========	===========	===========	=======	=======	========	===========	===========
Fri Jun 25 16:27:13 2021	31	6	TIRI-I_15mg	U	  900.870074	-3.654903E-6	-2.619553E-8	 5.185949E-6	 5.521913E-8	9009	9009	231	 1.064784E-2	2.376323E-13
Fri Jun 25 16:28:46 2021	31	7	TIRI-I_15mg	U	  900.835889	-3.576939E-6	-2.322137E-8	 5.084334E-6	 5.413452E-8	9008	9008	249	 1.064732E-2	2.612783E-13
Fri Jun 25 16:30:19 2021	31	8	TIRI-I_15mg	U	  900.630084	-3.506134E-6	-2.708099E-8	 4.971506E-6	 5.293615E-8	9006	9006	227	 1.064791E-2	2.436549E-13
Fri Jun 25 16:31:52 2021	31	9	TIRI-I_15mg	U	  900.678861	-3.422308E-6	-1.976521E-8	 4.852868E-6	 5.180658E-8	9007	9007	228	 1.067546E-2	2.506976E-13
Fri Jun 25 16:33:25 2021	31	10	TIRI-I_15mg	U	  900.449092	-3.338064E-6	-1.992588E-8	 4.726182E-6	 5.042352E-8	9004	9004	235	 1.066897E-2	2.653884E-13
Fri Jun 25 16:46:58 2021	32	1	NOSAMS2_8mg	U	  900.086007	-2.436716E-6	-1.170678E-8	 3.445779E-6	 3.706189E-8	9001	9001	582	 1.075574E-2	9.018521E-13
Fri Jun 25 16:48:31 2021	32	2	NOSAMS2_8mg	U	  900.652858	-2.468435E-6	-1.371335E-8	 3.496061E-6	 3.772720E-8	9007	9007	622	 1.079134E-2	9.493748E-13
Fri Jun 25 16:50:04 2021	32	3	NOSAMS2_8mg	U	  900.696367	-2.499730E-6	-1.312423E-8	 3.535198E-6	 3.803584E-8	9007	9007	603	 1.075918E-2	9.101414E-13
Fri Jun 25 16:51:37 2021	32	4	NOSAMS2_8mg	U	  900.733361	-2.489787E-6	-1.262080E-8	 3.516786E-6	 3.788668E-8	9007	9007	635	 1.077310E-2	9.634193E-13
Fri Jun 25 16:53:10 2021	32	5	NOSAMS2_8mg	U	  900.385596	-2.450144E-6	-1.252440E-8	 3.468103E-6	 3.733190E-8	9004	9004	576	 1.076436E-2	8.865142E-13
Fri Jun 25 16:54:44 2021	32	6	NOSAMS2_8mg	U	  901.077054	-2.404208E-6	-7.520113E-9	 3.396819E-6	 3.653885E-8	9011	9011	580	 1.075679E-2	9.107044E-13
Fri Jun 25 16:56:17 2021	32	7	NOSAMS2_8mg	U	  900.545065	-2.350530E-6	-5.440695E-9	 3.320998E-6	 3.573202E-8	9005	9005	566	 1.075942E-2	9.095489E-13
Fri Jun 25 16:57:50 2021	32	8	NOSAMS2_8mg	U	  900.864973	-2.290032E-6	-3.937550E-9	 3.237497E-6	 3.483065E-8	9009	9009	550	 1.075851E-2	9.063112E-13
Fri Jun 25 16:59:23 2021	32	9	NOSAMS2_8mg	U	  900.643846	-2.242689E-6	-1.199040E-9	 3.162834E-6	 3.399913E-8	9006	9006	581	 1.074958E-2	9.802354E-13
Fri Jun 25 17:01:42 2021	32	10	NOSAMS2_8mg	U	  900.684367	-2.160630E-6	-1.752455E-9	 3.046771E-6	 3.277725E-8	9007	9007	554	 1.075803E-2	9.702443E-13
Fri Jun 25 17:17:18 2021	33	1	LiveGas_24	S	  900.645367	-3.845956E-6	-2.052928E-8	 5.576266E-6	 5.948027E-8	9006	9006	978	 1.066668E-2	9.358910E-13
Fri Jun 25 17:18:52 2021	33	2	LiveGas_24	S	  901.097310	-4.600350E-6	-3.243185E-8	 6.604692E-6	 7.040422E-8	9011	9011	1193	 1.065973E-2	9.633852E-13
Fri Jun 25 17:20:25 2021	33	3	LiveGas_24	S	  900.394080	-4.563584E-6	-2.915897E-8	 6.561394E-6	 6.990942E-8	9004	9004	1121	 1.065466E-2	9.119281E-13
Fri Jun 25 17:21:58 2021	33	4	LiveGas_24	S	  900.491678	-4.513998E-6	-3.421825E-8	 6.486285E-6	 6.918988E-8	9005	9005	1149	 1.066710E-2	9.454271E-13
Fri Jun 25 17:23:31 2021	33	5	LiveGas_24	S	  900.783507	-4.454408E-6	-3.419683E-8	 6.411476E-6	 6.837294E-8	9008	9008	1158	 1.066415E-2	9.636379E-13
Fri Jun 25 17:25:04 2021	33	6	LiveGas_24	S	  900.395221	-4.372260E-6	-2.564211E-8	 6.299162E-6	 6.706541E-8	9004	9004	1135	 1.064672E-2	9.617533E-13
Fri Jun 25 17:26:37 2021	33	7	LiveGas_24	S	  900.824151	-4.290794E-6	-2.823423E-8	 6.187240E-6	 6.578248E-8	9008	9008	1140	 1.063196E-2	9.829958E-13
Fri Jun 25 17:28:10 2021	33	8	LiveGas_24	S	  900.532883	-4.205786E-6	-2.426036E-8	 6.076046E-6	 6.457001E-8	9005	9005	1146	 1.062698E-2	1.006579E-12
Fri Jun 25 17:29:43 2021	33	9	LiveGas_24	S	  900.572768	-4.130129E-6	-3.112984E-8	 5.965128E-6	 6.339081E-8	9006	9006	1159	 1.062690E-2	1.036880E-12
Fri Jun 25 17:31:16 2021	33	10	LiveGas_24	S	  900.548687	-4.048555E-6	-2.448530E-8	 5.838433E-6	 6.210946E-8	9005	9005	1056	 1.063804E-2	9.652597E-13
